CoT_Type_Technical;MIL2525C;APP6B
a-f-g-u-c-f-o;SFG-UCFO--;SFG-UCFO--
a-f-g-u-c-f-o-a;SFG-UCFOA-;SFG-UCFOA-
a-f-g-u-c-f-o-l;SFG-UCFOL-;SFG-UCFOL-
a-f-g-u-c-f-o-o;SFG-UCFOO-;SFG-UCFOO-
a-f-g-u-c-f-o-s;SFG-UCFOS-;SFG-UCFOS-
a-f-g-u-c-f-r;SFG-UCFR--;SFG-UCFR--
a-f-g-u-c-f-r-m;SFG-UCFRM-;SFG-UCFRM-
a-f-g-u-c-f-r-m-r;SFG-UCFRMR;SFG-UCFRMR
a-f-g-u-c-f-r-m-s;SFG-UCFRMS;SFG-UCFRMS
a-f-g-u-c-f-r-m-t;SFG-UCFRMT;SFG-UCFRMT
a-f-g-u-c-f-r-s;SFG-UCFRS-;SFG-UCFRS-
a-f-g-u-c-f-r-s-r;SFG-UCFRSR;SFG-UCFRSR
a-f-g-u-c-f-r-s-s;SFG-UCFRSS;SFG-UCFRSS
a-f-g-u-c-f-r-s-t;SFG-UCFRST;SFG-UCFRST
a-f-g-u-c-f-s;SFG-UCFS--;SFG-UCFS--
a-f-g-u-c-f-s-a;SFG-UCFSA-;SFG-UCFSA-
a-f-g-u-c-f-s-l;SFG-UCFSL-;SFG-UCFSL-
a-f-g-u-c-f-s-o;SFG-UCFSO-;SFG-UCFSO-
a-f-g-u-c-f-s-s;SFG-UCFSS-;SFG-UCFSS-
a-f-g-u-c-f-t;SFG-UCFT--;SFG-UCFT--
a-f-g-u-c-f-t-a;SFG-UCFTA-;SFG-UCFTA-
a-f-g-u-c-f-t-c;SFG-UCFTC-;SFG-UCFTC-
a-f-g-u-c-f-t-c-d;SFG-UCFTCD;SFG-UCFTCD
a-f-g-u-c-f-t-c-m;SFG-UCFTCM;SFG-UCFTCM
a-f-g-u-c-f-t-f;SFG-UCFTF-;SFG-UCFTF-
a-f-g-u-c-f-t-r;SFG-UCFTR-;SFG-UCFTR-
a-f-g-u-c-f-t-s;SFG-UCFTS-;SFG-UCFTS-
a-f-g-u-c-i;SFG-UCI---;SFG-UCI---
a-f-g-u-c-i-a;SFG-UCIA--;SFG-UCIA--
a-f-g-u-c-i-c;SFG-UCIC--;SFG-UCIC--
a-f-g-u-c-i-i;SFG-UCII--;SFG-UCII--
a-f-g-u-c-i-l;SFG-UCIL--;SFG-UCIL--
a-f-g-u-c-i-m;SFG-UCIM--;SFG-UCIM--
a-f-g-u-c-i-n;SFG-UCIN--;SFG-UCIN--
a-f-g-u-c-i-o;SFG-UCIO--;SFG-UCIO--
a-f-g-u-c-i-s;SFG-UCIS--;SFG-UCIS--
a-f-g-u-c-i-z;SFG-UCIZ--;SFG-UCIZ--
a-f-g-u-c-m;SFG-UCM---;SFG-UCM---
a-f-g-u-c-m-s;SFG-UCMS--;SFG-UCMS--
a-f-g-u-c-m-t;SFG-UCMT--;SFG-UCMT--
a-f-g-u-c-r;SFG-UCR---;SFG-UCR---
a-f-g-u-c-r-a;SFG-UCRA--;SFG-UCRA--
a-f-g-u-c-r-c;SFG-UCRC--;SFG-UCRC--
a-f-g-u-c-r-h;SFG-UCRH--;SFG-UCRH--
a-f-g-u-c-r-l;SFG-UCRL--;SFG-UCRLL--
a-f-g-u-c-r-o;SFG-UCRO--;SFG-UCRO--
a-f-g-u-c-r-r;SFG-UCRR--;SFG-UCRR--
a-f-g-u-c-r-r-d;SFG-UCRRD-;SFG-UCRRD-
a-f-g-u-c-r-r-f;SFG-UCRRF-;SFG-UCRRF-
a-f-g-u-c-r-r-l;SFG-UCRRL-;SFG-UCRRL-
a-f-g-u-c-r-s;SFG-UCRS--;SFG-UCRS--
a-f-g-u-c-r-v;SFG-UCRV--;SFG-UCRV--
a-f-g-u-c-r-v-a;SFG-UCRVA-;SFG-UCRVA-
a-f-g-u-c-r-v-g;SFG-UCRVG-;SFG-UCRVG-
a-f-g-u-c-r-v-m;SFG-UCRVM-;SFG-UCRVM-
a-f-g-u-c-r-v-o;SFG-UCRVO-;SFG-UCRVO-
a-f-g-u-c-r-x;SFG-UCRX--;SFG-UCRX--
a-f-g-u-c-s;SFG-UCS---;SFG-UCS---
a-f-g-u-c-s-a;SFG-UCSA--;SFG-UCSA--
a-f-g-u-c-s-g;SFG-UCSG--;SFG-UCSG--
a-f-g-u-c-s-g-a;SFG-UCSGA-;SFG-UCSGA-
a-f-g-u-c-s-g-d;SFG-UCSGD-;SFG-UCSGD-
a-f-g-u-c-s-g-m;SFG-UCSGM-;SFG-UCSGM-
a-f-g-u-c-s-m;SFG-UCSM--;SFG-UCSM--
a-f-g-u-c-s-r;SFG-UCSR--;SFG-UCSR--
a-f-g-u-c-s-w;SFG-UCSW--;SFG-UCSW--
a-f-g-u-c-v;SFG-UCV---;SFG-UCV---
a-f-g-u-c-v-c;SFG-UCVC--;SFG-UCVC--
a-f-g-u-c-v-f;SFG-UCVF--;SFG-UCVF--
a-f-g-u-c-v-f-a;SFG-UCVFA-;SFG-UCVFA-
a-f-g-u-c-v-f-r;SFG-UCVFR-;SFG-UCVFR-
a-f-g-u-c-v-f-u;SFG-UCVFU-;SFG-UCVFU-
a-f-g-u-c-v-r;SFG-UCVR--;SFG-UCVR--
a-f-g-u-c-v-r-a;SFG-UCVRA-;SFG-UCVRA-
a-f-g-u-c-v-r-m;SFG-UCVRM-;SFG-UCVRM-
a-f-g-u-c-v-r-s;SFG-UCVRS-;SFG-UCVRS-
a-f-g-u-c-v-r-u;SFG-UCVRU-;SFG-UCVRU-
a-f-g-u-c-v-r-u-c;SFG-UCVRUC;SFG-UCVRUC
a-f-g-u-c-v-r-u-e;SFG-UCVRUE;SFG-UCVRUE
a-f-g-u-c-v-r-u-h;SFG-UCVRUH;SFG-UCVRUH
a-f-g-u-c-v-r-u-l;SFG-UCVRUL;SFG-UCVRUL
a-f-g-u-c-v-r-u-m;SFG-UCVRUM;SFG-UCVRUM
a-f-g-u-c-v-r-w;SFG-UCVRW-;SFG-UCVRW-
a-f-g-u-c-v-s;SFG-UCVS--;SFG-UCVS--
a-f-g-u-c-v-u;SFG-UCVU--;SFG-UCVU--
a-f-g-u-c-v-u-f;SFG-UCVUF-;SFG-UCVUF-
a-f-g-u-c-v-u-r;SFG-UCVUR-;SFG-UCVUR-
a-f-g-u-c-v-v;SFG-UCVV--;SFG-UCVV--
a-f-g-u-h;SFG-UH----;SFG-UH----
a-f-g-u-s;SFG-US----;SFG-US----
a-f-g-u-s-a;SFG-USA---;SFG-USA---
a-f-g-u-s-a-c;SFG-USAC--;SFG-USAC--
a-f-g-u-s-a-f;SFG-USAF--;SFG-USAF--
a-f-g-u-s-a-f-c;SFG-USAFC-;SFG-USAFC-
a-f-g-u-s-a-f-t;SFG-USAFT-;SFG-USAFT-
a-f-g-u-s-a-j;SFG-USAJ--;SFG-USAJ--
a-f-g-u-s-a-j-c;SFG-USAJC-;SFG-USAJC-
a-f-g-u-s-a-j-t;SFG-USAJT-;SFG-USAJT-
a-f-g-u-s-a-l;SFG-USAL--;SFG-USAL--
a-f-g-u-s-a-l-c;SFG-USALC-;SFG-USALC-
a-f-g-u-s-a-l-t;SFG-USALT-;SFG-USALT-
a-f-g-u-s-a-m;SFG-USAM--;SFG-USAM--
a-f-g-u-s-a-m-c;SFG-USAMC-;SFG-USAMC-
a-f-g-u-s-a-m-t;SFG-USAMT-;SFG-USAMT-
a-f-g-u-s-a-o;SFG-USAO--;SFG-USAO--
a-f-g-u-s-a-o-c;SFG-USAOC-;SFG-USAOC-
a-f-g-u-s-a-o-t;SFG-USAOT-;SFG-USAOT-
a-f-g-u-s-a-p;SFG-USAP--;SFG-USAP--
a-f-g-u-s-a-p-b;SFG-USAPB-;SFG-USAPB-
a-f-g-u-s-a-p-b-c;SFG-USAPBC;SFG-USAPBC
a-f-g-u-s-a-p-b-t;SFG-USAPBT;SFG-USAPBT
a-f-g-u-s-a-p-c;SFG-USAPC-;SFG-USAPC-
a-f-g-u-s-a-p-m;SFG-USAPM-;SFG-USAPM-
a-f-g-u-s-a-p-m-c;SFG-USAPMC;SFG-USAPMC
a-f-g-u-s-a-p-m-t;SFG-USAPMT;SFG-USAPMT
a-f-g-u-s-a-p-t;SFG-USAPT-;SFG-USAPT-
a-f-g-u-s-a-q;SFG-USAQ--;SFG-USAQ--
a-f-g-u-s-a-q-c;SFG-USAQC-;SFG-USAQC-
a-f-g-u-s-a-q-t;SFG-USAQT-;SFG-USAQT-
a-f-g-u-s-a-r;SFG-USAR--;SFG-USAR--
a-f-g-u-s-a-r-c;SFG-USARC-;SFG-USARC-
a-f-g-u-s-a-r-t;SFG-USART-;SFG-USART-
a-f-g-u-s-a-s;SFG-USAS--;SFG-USAS--
a-f-g-u-s-a-s-c;SFG-USASC-;SFG-USASC-
a-f-g-u-s-a-s-t;SFG-USAST-;SFG-USAST-
a-f-g-u-s-a-t;SFG-USAT--;SFG-USAT--
a-f-g-u-s-a-w;SFG-USAW--;SFG-USAW--
a-f-g-u-s-a-w-c;SFG-USAWC-;SFG-USAWC-
a-f-g-u-s-a-w-t;SFG-USAWT-;SFG-USAWT-
a-f-g-u-s-a-x;SFG-USAX--;SFG-USAX--
a-f-g-u-s-a-x-c;SFG-USAXC-;SFG-USAXC-
a-f-g-u-s-a-x-t;SFG-USAXT-;SFG-USAXT-
a-f-g-u-s-m;SFG-USM---;SFG-USM---
a-f-g-u-s-m-c;SFG-USMC--;SFG-USMC--
a-f-g-u-s-m-d;SFG-USMD--;SFG-USMD--
a-f-g-u-s-m-d-c;SFG-USMDC-;SFG-USMDC-
a-f-g-u-s-m-d-t;SFG-USMDT-;SFG-USMDT-
a-f-g-u-s-m-m;SFG-USMM--;SFG-USMM--
a-f-g-u-s-m-m-c;SFG-USMMC-;SFG-USMMC-
a-f-g-u-s-m-m-t;SFG-USMMT-;SFG-USMMT-
a-f-g-u-s-m-p;SFG-USMP--;SFG-USMP--
a-f-g-u-s-m-p-c;SFG-USMPC-;SFG-USMPC-
a-f-g-u-s-m-p-t;SFG-USMPT-;SFG-USMPT-
a-f-g-u-s-m-t;SFG-USMT--;SFG-USMT--
a-f-g-u-s-m-v;SFG-USMV--;SFG-USMV--
a-f-g-u-s-m-v-c;SFG-USMVC-;SFG-USMVC-
a-f-g-u-s-m-v-t;SFG-USMVT-;SFG-USMVT-
a-f-g-u-s-s;SFG-USS---;SFG-USS---
a-f-g-u-s-s-1;SFG-USS1--;SFG-USS1--
a-f-g-u-s-s-1-c;SFG-USS1C-;SFG-USS1C-
a-f-g-u-s-s-1-t;SFG-USS1T-;SFG-USS1T-
a-f-g-u-s-s-2;SFG-USS2--;SFG-USS2--
a-f-g-u-s-s-2-c;SFG-USS2C-;SFG-USS2C-
a-f-g-u-s-s-2-t;SFG-USS2T-;SFG-USS2T-
a-f-g-u-s-s-3;SFG-USS3--;SFG-USS3--
a-f-g-u-s-s-3-a;SFG-USS3A-;SFG-USS3A-
a-f-g-u-s-s-3-a-c;SFG-USS3AC;SFG-USS3AC
a-f-g-u-s-s-3-a-t;SFG-USS3AT;SFG-USS3AT
a-f-g-u-s-s-3-c;SFG-USS3C-;SFG-USS3C-
a-f-g-u-s-s-3-t;SFG-USS3T-;SFG-USS3T-
a-f-g-u-s-s-4;SFG-USS4--;SFG-USS4--
a-f-g-u-s-s-4-c;SFG-USS4C-;SFG-USS4C-
a-f-g-u-s-s-4-t;SFG-USS4T-;SFG-USS4T-
a-f-g-u-s-s-5;SFG-USS5--;SFG-USS5--
a-f-g-u-s-s-5-c;SFG-USS5C-;SFG-USS5C-
a-f-g-u-s-s-5-t;SFG-USS5T-;SFG-USS5T-
a-f-g-u-s-s-6;SFG-USS6--;SFG-USS6--
a-f-g-u-s-s-6-c;SFG-USS6C-;SFG-USS6C-
a-f-g-u-s-s-6-t;SFG-USS6T-;SFG-USS6T-
a-f-g-u-s-s-7;SFG-USS7--;SFG-USS7--
a-f-g-u-s-s-7-c;SFG-USS7C-;SFG-USS7C-
a-f-g-u-s-s-7-t;SFG-USS7T-;SFG-USS7T-
a-f-g-u-s-s-8;SFG-USS8--;SFG-USS8--
a-f-g-u-s-s-8-c;SFG-USS8C-;SFG-USS8C-
a-f-g-u-s-s-8-t;SFG-USS8T-;SFG-USS8T-
a-f-g-u-s-s-9;SFG-USS9--;SFG-USS9--
a-f-g-u-s-s-9-c;SFG-USS9C-;SFG-USS9C-
a-f-g-u-s-s-9-t;SFG-USS9T-;SFG-USS9T-
a-f-g-u-s-s-c;SFG-USSC--;SFG-USSC--
a-f-g-u-s-s-l;SFG-USSL--;SFG-USSL--
a-f-g-u-s-s-l-c;SFG-USSLC-;SFG-USSLC-
a-f-g-u-s-s-l-t;SFG-USSLT-;SFG-USSLT-
a-f-g-u-s-s-t;SFG-USST--;SFG-USST--
a-f-g-u-s-s-w;SFG-USSW--;SFG-USSW--
a-f-g-u-s-s-w-c;SFG-USSWC-;SFG-USSWC-
a-f-g-u-s-s-w-p;SFG-USSWP-;SFG-USSWP-
a-f-g-u-s-s-w-p-c;SFG-USSWPC;SFG-USSWPC
a-f-g-u-s-s-w-p-t;SFG-USSWPT;SFG-USSWPT
a-f-g-u-s-s-w-t;SFG-USSWT-;SFG-USSWT-
a-f-g-u-s-s-x;SFG-USSX--;SFG-USSX--
a-f-g-u-s-s-x-c;SFG-USSXC-;SFG-USSXC-
a-f-g-u-s-s-x-t;SFG-USSXT-;SFG-USSXT-
a-f-g-u-s-t;SFG-UST---;SFG-UST---
a-f-g-u-s-t-a;SFG-USTA--;SFG-USTA--
a-f-g-u-s-t-a-c;SFG-USTAC-;SFG-USTAC-
a-f-g-u-s-t-a-t;SFG-USTAT-;SFG-USTAT-
a-f-g-u-s-t-c;SFG-USTC--;SFG-USTC--
a-f-g-u-s-t-i;SFG-USTI--;SFG-USTI--
a-f-g-u-s-t-i-c;SFG-USTIC-;SFG-USTIC-
a-f-g-u-s-t-i-t;SFG-USTIT-;SFG-USTIT-
a-f-g-u-s-t-m;SFG-USTM--;SFG-USTM--
a-f-g-u-s-t-m-c;SFG-USTMC-;SFG-USTMC-
a-f-g-u-s-t-m-t;SFG-USTMT-;SFG-USTMT-
a-f-g-u-s-t-r;SFG-USTR--;SFG-USTR--
a-f-g-u-s-t-r-c;SFG-USTRC-;SFG-USTRC-
a-f-g-u-s-t-r-t;SFG-USTRT-;SFG-USTRT-
a-f-g-u-s-t-s;SFG-USTS--;SFG-USTS--
a-f-g-u-s-t-s-c;SFG-USTSC-;SFG-USTSC-
a-f-g-u-s-t-s-t;SFG-USTST-;SFG-USTST-
a-f-g-u-s-t-t;SFG-USTT--;SFG-USTT--
a-f-g-u-s-x;SFG-USX---;SFG-USX---
a-f-g-u-s-x-c;SFG-USXC--;SFG-USXC--
a-f-g-u-s-x-e;SFG-USXE--;SFG-USXE--
a-f-g-u-s-x-e-c;SFG-USXEC-;SFG-USXEC-
a-f-g-u-s-x-e-t;SFG-USXET-;SFG-USXET-
a-f-g-u-s-x-h;SFG-USXH--;SFG-USXH--
a-f-g-u-s-x-h-c;SFG-USXHC-;SFG-USXHC-
a-f-g-u-s-x-h-t;SFG-USXHT-;SFG-USXHT-
a-f-g-u-s-x-o;SFG-USXO--;SFG-USXO--
a-f-g-u-s-x-o-c;SFG-USXOC-;SFG-USXOC-
a-f-g-u-s-x-o-m;SFG-USXOM-;SFG-USXOM-
a-f-g-u-s-x-o-m-c;SFG-USXOMC;SFG-USXOMC
a-f-g-u-s-x-o-m-t;SFG-USXOMT;SFG-USXOMT
a-f-g-u-s-x-o-t;SFG-USXOT-;SFG-USXOT-
a-f-g-u-s-x-r;SFG-USXR--;SFG-USXR--
a-f-g-u-s-x-r-c;SFG-USXRC-;SFG-USXRC-
a-f-g-u-s-x-r-t;SFG-USXRT-;SFG-USXRT-
a-f-g-u-s-x-t;SFG-USXT--;SFG-USXT--
a-f-g-u-u;SFG-UU----;SFG-UU----
a-f-g-u-u-a;SFG-UUA---;SFG-UUA---
a-f-g-u-u-a-b;SFG-UUAB--;SFG-UUAB--
a-f-g-u-u-a-b-r;SFG-UUABR-;SFG-UUABR-
a-f-g-u-u-a-c;SFG-UUAC--;SFG-UUAC--
a-f-g-u-u-a-c-c;SFG-UUACC-;SFG-UUACC-
a-f-g-u-u-a-c-c-k;SFG-UUACCK;SFG-UUACCK
a-f-g-u-u-a-c-c-m;SFG-UUACCM;SFG-UUACCM
a-f-g-u-u-a-c-r;SFG-UUACR-;SFG-UUACR-
a-f-g-u-u-a-c-r-s;SFG-UUACRS;SFG-UUACRS
a-f-g-u-u-a-c-r-w;SFG-UUACRW;SFG-UUACRW
a-f-g-u-u-a-c-s;SFG-UUACS-;SFG-UUACS-
a-f-g-u-u-a-c-s-a;SFG-UUACSA;SFG-UUACSA
a-f-g-u-u-a-c-s-m;SFG-UUACSM;SFG-UUACSM
a-f-g-u-u-a-d;SFG-UUAD--;SFG-UUAD--
a-f-g-u-u-a-n;SFG-UUAN--;SFG-UUAN--
a-f-g-u-u-e;SFG-UUE---;SFG-UUE---
a-f-g-u-u-i;SFG-UUI---;SFG-UUI---
a-f-g-u-u-l;SFG-UUL---;SFG-UUL---
a-f-g-u-u-l-c;SFG-UULC--;SFG-UULC--
a-f-g-u-u-l-d;SFG-UULD--;SFG-UULD--
a-f-g-u-u-l-f;SFG-UULF--;SFG-UULF--
a-f-g-u-u-l-m;SFG-UULM--;SFG-UULM--
a-f-g-u-u-l-s;SFG-UULS--;SFG-UULS--
a-f-g-u-u-m;SFG-UUM---;SFG-UUM---
a-f-g-u-u-m-a;SFG-UUMA--;SFG-UUMA--
a-f-g-u-u-m-c;SFG-UUMC--;SFG-UUMC--
a-f-g-u-u-m-j;SFG-UUMJ--;SFG-UUMJ--
a-f-g-u-u-m-m-o;SFG-UUMMO-;SFG-UUMMO-
a-f-g-u-u-m-o;SFG-UUMO--;SFG-UUMO--
a-f-g-u-u-m-q;SFG-UUMQ--;SFG-UUMQ--
a-f-g-u-u-m-r;SFG-UUMR--;SFG-UUMR--
a-f-g-u-u-m-r-g;SFG-UUMRG-;SFG-UUMRG-
a-f-g-u-u-m-r-s;SFG-UUMRS-;SFG-UUMRS-
a-f-g-u-u-m-r-s-s;SFG-UUMRSS;SFG-UUMRSS
a-f-g-u-u-m-r-x;SFG-UUMRX-;SFG-UUMRX-
a-f-g-u-u-m-s;SFG-UUMS--;SFG-UUMS--
a-f-g-u-u-m-s-e;SFG-UUMSE-;SFG-UUMSE-
a-f-g-u-u-m-s-e-a;SFG-UUMSEA;SFG-UUMSEA
a-f-g-u-u-m-s-e-c;SFG-UUMSEC;SFG-UUMSEC
a-f-g-u-u-m-s-e-d;SFG-UUMSED;SFG-UUMSED
a-f-g-u-u-m-s-e-i;SFG-UUMSEI;SFG-UUMSEI
a-f-g-u-u-m-s-e-j;SFG-UUMSEJ;SFG-UUMSEJ
a-f-g-u-u-m-s-e-t;SFG-UUMSET;SFG-UUMSET
a-f-g-u-u-m-t;SFG-UUMT--;SFG-UUMT--
a-f-g-u-u-p;SFG-UUP---;SFG-UUP---
a-f-g-u-u-s;SFG-UUS---;SFG-UUS---
a-f-g-u-u-s-a;SFG-UUSA--;SFG-UUSA--
a-f-g-u-u-s-c;SFG-UUSC--;SFG-UUSC--
a-f-g-u-u-s-c-l;SFG-UUSCL-;SFG-UUSCL-
a-f-g-u-u-s-f;SFG-UUSF--;SFG-UUSF--
a-f-g-u-u-s-m;SFG-UUSM--;SFG-UUSM--
a-f-g-u-u-s-m-l;SFG-UUSML-;SFG-UUSML-
a-f-g-u-u-s-m-n;SFG-UUSMN-;SFG-UUSMN-
a-f-g-u-u-s-m-s;SFG-UUSMS-;SFG-UUSMS-
a-f-g-u-u-s-o;SFG-UUSO--;SFG-UUSO--
a-f-g-u-u-s-r;SFG-UUSR--;SFG-UUSR--
a-f-g-u-u-s-r-s;SFG-UUSRS-;SFG-UUSRS-
a-f-g-u-u-s-r-t;SFG-UUSRT-;SFG-UUSRT-
a-f-g-u-u-s-r-w;SFG-UUSRW-;SFG-UUSRW-
a-f-g-u-u-s-s;SFG-UUSS--;SFG-UUSS--
a-f-g-u-u-s-w;SFG-UUSW--;SFG-UUSW--
a-f-g-u-u-s-x;SFG-UUSX--;SFG-UUSX--
a-f-p;SFP-------;SFP-------
a-f-p-l;SFP-L-----;SFP-------
a-f-p-s;SFP-S-----;SFP-S-----
a-f-p-t;SFP-T-----;SFP-T-----
a-f-p-v;SFP-V-----;SFP-V-----
a-f-s;SFS-------;SFS-------
a-f-s-c;SFS-C-----;SFS-C-----
a-f-s-c-a;SFS-CA----;SFS-CA----
a-f-s-c-a-l-a;SFS-CALA--;SFS-CALA--
a-f-s-c-a-l-c;SFS-CALC--;SFS-CALC--
a-f-s-c-a-l-s;SFS-CALS--;SFS-CALS--
a-f-s-c-a-l-s-m;SFS-CALSM-;SFS-CALS--
a-f-s-c-a-l-s-t;SFS-CALST-;SFS-CALS--
a-f-s-c-d;SFS-CD----;SFS-C-----
a-f-s-c-h;SFS-CH----;SFS-CH----
a-f-s-c-l;SFS-CL----;SFS-CL----
a-f-s-c-l-b-b;SFS-CLBB--;SFS-CLBB--
a-f-s-c-l-c-c;SFS-CLCC--;SFS-CLCC--
a-f-s-c-l-c-v;SFS-CLCV--;SFS-CLCV--
a-f-s-c-l-d-d;SFS-CLDD--;SFS-CLDD--
a-f-s-c-l-f-f;SFS-CLFF--;SFS-CLFF--
a-f-s-c-l-l-l;SFS-CLLL--;SFS-CL----
a-f-s-c-l-l-l-a-s;SFS-CLLLAS;SFS-CL----
a-f-s-c-l-l-l-m-i;SFS-CLLLMI;SFS-CL----
a-f-s-c-l-l-l-s-u;SFS-CLLLSU;SFS-CL----
a-f-s-c-m;SFS-CM----;SFS-CM----
a-f-s-c-m-m-a;SFS-CMMA--;SFS-CM----
a-f-s-c-m-m-h;SFS-CMMH--;SFS-CMMH--
a-f-s-c-m-m-l;SFS-CMML--;SFS-CMML--
a-f-s-c-m-m-s;SFS-CMMS--;SFS-CMMS--
a-f-s-c-p;SFS-CP----;SFS-CP----
a-f-s-c-p-s-b;SFS-CPSB--;SFS-CPSB--
a-f-s-c-p-s-u;SFS-CPSU--;SFS-CPSU--
a-f-s-c-p-s-u-g;SFS-CPSUG-;SFS-CP----
a-f-s-c-p-s-u-m;SFS-CPSUM-;SFS-CPSU--
a-f-s-c-p-s-u-t;SFS-CPSUT-;SFS-CPSU--
a-f-s-c-u;SFS-CU----;SFS-C-----
a-f-s-c-u-m;SFS-CUM---;SFS-C-----
a-f-s-c-u-n;SFS-CUN---;SFS-C-----
a-f-s-c-u-s;SFS-CUS---;SFS-C-----
a-f-s-g;SFS-G-----;SFS-G-----
a-f-s-g-c;SFS-GC----;SFS-GC----
a-f-s-g-g;SFS-GG----;SFS-GG----
a-f-s-g-t;SFS-GT----;SFS-GT----
a-f-s-g-u;SFS-GU----;SFS-GU----
a-f-s-n;SFS-N-----;SFS-N-----
a-f-s-n-f;SFS-NF----;SFS-N-----
a-f-s-n-h;SFS-NH----;SFS-NH----
a-f-s-n-i;SFS-NI----;SFS-NI----
a-f-s-n-m;SFS-NM----;SFS-NM----
a-f-s-n-n;SFS-NN----;SFS-N-----
a-f-s-n-n-r;SFS-NNR---;SFS-N-----
a-f-s-n-r;SFS-NR----;SFS-NR----
a-f-s-n-s;SFS-NS----;SFS-NS----
a-f-s-o;SFS-O-----;SFS-O-----
a-f-s-s;SFS-S-----;SFS-------
a-f-s-s-a;SFS-SA----;SFS-------
a-f-s-s-p;SFS-SP----;SFS-------
a-f-s-x;SFS-X-----;SFS-X-----
a-f-s-x-f;SFS-XF----;SFS-XF----
a-f-s-x-f-d-f;SFS-XFDF--;SFS-XF----
a-f-s-x-f-d-r;SFS-XFDR--;SFS-XF----
a-f-s-x-f-t-r;SFS-XFTR--;SFS-XF----
a-f-s-x-h;SFS-XH----;SFS-XH----
a-f-s-x-l;SFS-XL----;SFS-XL----
a-f-s-x-m;SFS-XM----;SFS-XM----
a-f-s-x-m-c;SFS-XMC---;SFS-XMC---
a-f-s-x-m-f;SFS-XMF---;SFS-XMF---
a-f-s-x-m-h;SFS-XMH---;SFS-XM----
a-f-s-x-m-o;SFS-XMO---;SFS-XMO---
a-f-s-x-m-p;SFS-XMP---;SFS-XMP---
a-f-s-x-m-r;SFS-XMR---;SFS-XM----
a-f-s-x-m-t-o;SFS-XMTO--;SFS-XM----
a-f-s-x-m-t-u;SFS-XMTU--;SFS-XM----
a-f-s-x-r;SFS-XR----;SFS-XR----
a-f-u;SFU-------;SFU-------
a-f-u-n;SFU-N-----;SFU-N-----
a-f-u-n-d;SFU-ND----;SFU-ND----
a-f-u-s;SFU-S-----;SFU-S-----
a-f-u-s-c;SFU-SC----;SFU-SC----
a-f-u-s-c-a;SFU-SCA---;SFU-SC----
a-f-u-s-c-b;SFU-SCB---;SFU-SC----
a-f-u-s-c-f;SFU-SCF---;SFU-SC----
a-f-u-s-c-g;SFU-SCG---;SFU-SC----
a-f-u-s-c-m;SFU-SCM---;SFU-SC----
a-f-u-s-f;SFU-SF----;SFU-S-----
a-f-u-s-n;SFU-SN----;SFU-SN----
a-f-u-s-n-a;SFU-SNA---;SFU-SN----
a-f-u-s-n-b;SFU-SNB---;SFU-SN----
a-f-u-s-n-f;SFU-SNF---;SFU-SN----
a-f-u-s-n-g;SFU-SNG---;SFU-SN----
a-f-u-s-n-m;SFU-SNM---;SFU-SN----
a-f-u-s-o;SFU-SO----;SFU-SO----
a-f-u-s-o-f;SFU-SOF---;SFU-SO----
a-f-u-s-s;SFU-SS----;SFU-S-----
a-f-u-s-s-a;SFU-SSA---;SFU-S-----
a-f-u-s-u;SFU-SU----;SFU-S-----
a-f-u-s-u-m;SFU-SUM---;SFU-S-----
a-f-u-s-u-n;SFU-SUN---;SFU-S-----
a-f-u-s-u-s;SFU-SUS---;SFU-S-----
a-f-u-w;SFU-W-----;SFU-W-----
a-f-u-w-d;SFU-WD----;SFU-WD----
a-f-u-w-d-m;SFU-WDM---;SFU-WDM---
a-f-u-w-m;SFU-WM----;SFU-WM----
a-f-u-w-m-d;SFU-WMD---;SFU-WMD---
a-f-u-w-m-f;SFU-WMF---;SFU-WMF---
a-f-u-w-m-f-d;SFU-WMFD--;SFU-WMFD--
a-f-u-w-m-g;SFU-WMG---;SFU-WMG---
a-f-u-w-m-g-d;SFU-WMGD--;SFU-WMGD--
a-f-u-w-m-m;SFU-WMM---;SFU-WMM---
a-f-u-w-m-m-d;SFU-WMMD--;SFU-WMMD--
a-f-u-w-m-o;SFU-WMO---;SFU-WMO---
a-f-u-w-m-o-d;SFU-WMOD--;SFU-WMOD--
a-f-u-w-t;SFU-WT----;SFU-WT----
a-h-a;SHA-------;SHA-------
a-h-a-c;SHA-C-----;SHA-C-----
a-h-a-c-f;SHA-CF----;SHA-CF----
a-h-a-c-h;SHA-CH----;SHA-CH----
a-h-a-c-l;SHA-CL----;SHA-CL----
a-h-a-m;SHA-M-----;SHA-M-----
a-h-a-m-f;SHA-MF----;SHA-MF----
a-h-a-m-f-a;SHA-MFA---;SHA-MFA---
a-h-a-m-f-b;SHA-MFB---;SHA-MFB---
a-h-a-m-f-c;SHA-MFC---;SHA-MFC---
a-h-a-m-f-c-h;SHA-MFCH--;SHA-MFCH--
a-h-a-m-f-c-l;SHA-MFCL--;SHA-MFCL--
a-h-a-m-f-c-m;SHA-MFCM--;SHA-MFCM--
a-h-a-m-f-d;SHA-MFD---;SHA-MFD---
a-h-a-m-f-f;SHA-MFF---;SHA-MFF---
a-h-a-m-f-f-i;SHA-MFFI--;SHA-MFFI--
a-h-a-m-f-h;SHA-MFH---;SHA-MFH---
